,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
10026,20180816,J & J SNACK FOODS CORP,JJSF,2727482.68,6.0,3.0,8.0,4.0,7.0,1,10.0,10.0,7.0,3.0,4.0,8.0,5.0,3.0,4.0,2.0,5.0,3.0,2.0,2.0,4.0,1.0,9.0,6.0,3.0,2.0,7.0,,5.0,3.0,4.0,6.0,4.0,6.0,6.0,3.0,4.0,7.0,,7.0,5.0,9.0,9.0,8.0,9.0,5.0,8.0,9.0,6.0,5.0,10.0,4,9.0,10,1
10028,20180816,D G S E COMPANIES INC,DGSE,18784.8748,10.0,4.0,10.0,4.0,10.0,10,10.0,1.0,6.0,1.0,6.0,10.0,2.0,,9.0,6.0,8.0,10.0,4.0,10.0,2.0,2.0,10.0,9.0,9.0,2.0,,,,8.0,,,10.0,1.0,1.0,9.0,5.0,6.0,,8.0,7.0,9.0,7.0,1.0,10.0,1.0,8.0,,,1.0,1.0,4,10.0,10,1
10032,20180816,PLEXUS CORP,PLXS,1967241.02,7.0,6.0,3.0,7.0,3.0,10,1.0,10.0,9.0,6.0,3.0,8.0,1.0,,7.0,6.0,9.0,3.0,7.0,3.0,8.0,5.0,7.0,6.0,8.0,,,,5.0,8.0,5.0,4.0,5.0,6.0,7.0,5.0,6.0,10.0,4.0,6.0,7.0,7.0,7.0,10.0,6.0,5.0,7.0,7.0,9.0,3.0,7.0,4,8.0,10,1
10044,20180816,ROCKY MOUNTAIN CHOC FAC INC NEW,RMCF,60129.434,10.0,4.0,9.0,4.0,8.0,1,10.0,10.0,4.0,4.0,9.0,8.0,6.0,9.0,7.0,5.0,7.0,6.0,5.0,2.0,9.0,2.0,10.0,8.0,5.0,4.0,4.0,,5.0,3.0,3.0,6.0,10.0,4.0,3.0,8.0,4.0,4.0,,3.0,4.0,,10.0,8.0,10.0,4.0,10.0,10.0,8.0,7.0,2.0,4,10.0,10,1
10051,20180816,HANGER INC,<undefined>,,,,,,,1,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,,,,,,,,,,1.0,,,,,,4,,1,1
10104,20180816,ORACLE CORP,ORCL,191493555.5,1.0,4.0,5.0,4.0,2.0,10,1.0,10.0,9.0,7.0,2.0,2.0,10.0,4.0,7.0,4.0,9.0,7.0,2.0,2.0,7.0,3.0,8.0,8.0,1.0,3.0,8.0,1.0,4.0,8.0,3.0,2.0,8.0,2.0,1.0,4.0,3.0,9.0,4.0,9.0,8.0,9.0,2.0,6.0,6.0,5.0,2.0,2.0,4.0,8.0,6.0,4,9.0,10,1
10107,20180816,MICROSOFT CORP,MSFT,825406877.88,1.0,1.0,6.0,2.0,1.0,10,1.0,10.0,7.0,10.0,2.0,2.0,10.0,6.0,5.0,2.0,10.0,5.0,2.0,6.0,6.0,1.0,9.0,10.0,1.0,1.0,8.0,3.0,8.0,8.0,4.0,5.0,9.0,9.0,4.0,1.0,1.0,7.0,4.0,10.0,6.0,10.0,3.0,10.0,5.0,9.0,2.0,2.0,4.0,9.0,9.0,4,10.0,10,1
10138,20180816,T ROWE PRICE GROUP INC,TROW,28287977.12,2.0,,,,,10,10.0,10.0,3.0,,,,,6.0,8.0,4.0,,,,,,1.0,10.0,9.0,1.0,9.0,1.0,,8.0,4.0,,,6.0,9.0,6.0,7.0,,3.0,8.0,9.0,7.0,10.0,5.0,9.0,4.0,4.0,5.0,5.0,3.0,8.0,9.0,4,8.0,10,1
10145,20180816,HONEYWELL INTERNATIONAL INC,HON,114436362.52611,1.0,2.0,5.0,3.0,1.0,10,1.0,10.0,8.0,9.0,4.0,5.0,6.0,5.0,3.0,1.0,8.0,7.0,5.0,7.0,7.0,2.0,5.0,5.0,3.0,9.0,8.0,7.0,4.0,,2.0,1.0,9.0,5.0,3.0,3.0,2.0,9.0,3.0,9.0,5.0,8.0,2.0,10.0,6.0,6.0,,,,6.0,10.0,1,9.0,10,1
10158,20180816,AMERESCO INC,AMRC,434620.2,10.0,10.0,3.0,10.0,9.0,1,1.0,10.0,2.0,1.0,2.0,5.0,3.0,,10.0,10.0,1.0,1.0,3.0,4.0,4.0,9.0,6.0,6.0,10.0,8.0,,,10.0,1.0,10.0,10.0,9.0,10.0,1.0,9.0,9.0,2.0,,5.0,9.0,5.0,1.0,4.0,3.0,5.0,1.0,,,3.0,2.0,8,9.0,10,1
