,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
10001,20150120,GAS NATURAL INC,EGAS,108445.92,10.0,10.0,1.0,,7.0,10,10.0,1.0,1.0,7.0,2.0,4.0,2.0,10.0,9.0,9.0,1.0,2.0,6.0,3.0,1.0,9.0,5.0,4.0,8.0,10.0,3.0,,7.0,5.0,10.0,8.0,10.0,10.0,10.0,9.0,9.0,5.0,,2.0,1.0,2.0,9.0,8.0,10.0,8.0,9.0,10.0,8.0,1.0,2.0,4,9.0,10,1
10025,20150120,A E P INDUSTRIES INC,AEPI,281944.69,10.0,4.0,8.0,5.0,8.0,1,1.0,1.0,10.0,3.0,4.0,10.0,2.0,,4.0,9.0,3.0,2.0,5.0,5.0,8.0,7.0,4.0,6.0,10.0,6.0,,,10.0,7.0,9.0,10.0,6.0,3.0,10.0,8.0,3.0,10.0,,,,,1.0,4.0,7.0,6.0,1.0,,,7.0,8.0,4,9.0,10,1
10026,20150120,J & J SNACK FOODS CORP,JJSF,2114909.94,7.0,4.0,9.0,4.0,8.0,10,10.0,10.0,7.0,3.0,5.0,8.0,6.0,2.0,5.0,3.0,4.0,4.0,4.0,8.0,6.0,1.0,9.0,7.0,4.0,8.0,6.0,,7.0,6.0,7.0,9.0,8.0,8.0,6.0,4.0,3.0,6.0,,7.0,5.0,10.0,4.0,10.0,9.0,3.0,3.0,2.0,3.0,6.0,10.0,4,10.0,10,1
10028,20150120,D G S E COMPANIES INC,DGSE,16746.88,10.0,5.0,10.0,6.0,10.0,1,10.0,1.0,6.0,10.0,9.0,10.0,2.0,,1.0,,9.0,3.0,8.0,9.0,10.0,5.0,1.0,1.0,10.0,9.0,,,,10.0,,,6.0,1.0,10.0,,4.0,5.0,,3.0,2.0,2.0,10.0,1.0,10.0,3.0,10.0,,,,1.0,4,10.0,10,1
10032,20150120,PLEXUS CORP,PLXS,1330178.2,7.0,6.0,3.0,6.0,3.0,10,1.0,10.0,7.0,10.0,6.0,9.0,1.0,,7.0,6.0,9.0,6.0,2.0,2.0,9.0,5.0,7.0,7.0,9.0,,,,3.0,9.0,4.0,2.0,5.0,3.0,2.0,7.0,6.0,7.0,6.0,7.0,9.0,7.0,3.0,6.0,3.0,9.0,2.0,1.0,4.0,10.0,6.0,4,7.0,10,1
10044,20150120,ROCKY MOUNTAIN CHOCOLATE FAC INC,RMCF,81524.34,10.0,3.0,9.0,3.0,7.0,10,10.0,10.0,3.0,10.0,8.0,9.0,5.0,9.0,3.0,1.0,8.0,9.0,9.0,10.0,5.0,1.0,7.0,5.0,4.0,10.0,3.0,,7.0,6.0,5.0,8.0,10.0,7.0,8.0,6.0,4.0,7.0,,7.0,5.0,8.0,4.0,8.0,10.0,9.0,3.0,2.0,3.0,9.0,2.0,4,10.0,10,1
10051,20150120,HANGER INC,HGR,751345.39,8.0,6.0,2.0,6.0,2.0,10,1.0,10.0,3.0,2.0,6.0,6.0,2.0,,6.0,5.0,2.0,7.0,3.0,4.0,5.0,5.0,7.0,6.0,6.0,7.0,,,1.0,10.0,2.0,1.0,2.0,1.0,4.0,2.0,9.0,3.0,,,,,5.0,2.0,8.0,6.0,7.0,,,6.0,4.0,4,4.0,10,1
10104,20150120,ORACLE CORP,ORCL,192781011.3,1.0,3.0,7.0,3.0,4.0,10,1.0,10.0,9.0,4.0,6.0,3.0,10.0,2.0,8.0,6.0,9.0,8.0,4.0,6.0,8.0,2.0,10.0,9.0,1.0,5.0,6.0,2.0,5.0,5.0,3.0,5.0,9.0,7.0,7.0,7.0,3.0,8.0,4.0,9.0,6.0,9.0,3.0,6.0,7.0,6.0,2.0,1.0,1.0,7.0,7.0,4,9.0,10,1
10107,20150120,MICROSOFT CORP,MSFT,381233020.0,1.0,3.0,8.0,3.0,6.0,1,1.0,10.0,8.0,7.0,2.0,3.0,10.0,7.0,9.0,6.0,10.0,5.0,1.0,1.0,5.0,2.0,10.0,10.0,2.0,7.0,8.0,1.0,9.0,5.0,7.0,9.0,9.0,9.0,6.0,8.0,3.0,7.0,2.0,8.0,5.0,9.0,8.0,8.0,9.0,6.0,8.0,8.0,7.0,7.0,7.0,4,9.0,10,1
10116,20150120,ACURA PHARMACEUTICALS INC,ACUR,28331.84,10.0,2.0,,3.0,,1,1.0,1.0,2.0,2.0,8.0,1.0,1.0,,1.0,,10.0,8.0,10.0,10.0,,1.0,1.0,1.0,1.0,4.0,,,,9.0,,,10.0,1.0,10.0,10.0,6.0,3.0,,1.0,1.0,1.0,10.0,1.0,4.0,1.0,10.0,,,2.0,1.0,4,10.0,10,1
