,date,COMNAM,TAQ_TICKER,MARKETCAP,pNYSE_size,pNYSE_value,pNYSE_prof,pNYSE_dur,pNYSE_valprof,pNYSE_fscore,pNYSE_debtiss,pNYSE_repurch,pNYSE_nissa,pNYSE_accruals,pNYSE_growth,pNYSE_aturnover,pNYSE_gmargins,pNYSE_divp,pNYSE_ep,pNYSE_cfp,pNYSE_noa,pNYSE_inv,pNYSE_invcap,pNYSE_igrowth,pNYSE_sgrowth,pNYSE_lev,pNYSE_roaa,pNYSE_roea,pNYSE_sp,pNYSE_gltnoa,pNYSE_divg,pNYSE_invaci,pNYSE_mom,pNYSE_indmom,pNYSE_valmom,pNYSE_valmomprof,pNYSE_shortint,pNYSE_mom12,pNYSE_momrev,pNYSE_lrrev,pNYSE_valuem,pNYSE_nissm,pNYSE_sue,pNYSE_roe,pNYSE_rome,pNYSE_roa,pNYSE_strev,pNYSE_ivol,pNYSE_betaarb,pNYSE_season,pNYSE_indrrev,pNYSE_indrrevlv,pNYSE_indmomrev,pNYSE_ciss,pNYSE_price,pNYSE_age,pNYSE_shvol,pNYSE_exchsw,pNYSE_ipo
10001,20161219,GAS NATURAL INC,EGAS,131500.0,10.0,9.0,1.0,,6.0,10,1.0,1.0,5.0,8.0,8.0,4.0,1.0,10.0,3.0,7.0,3.0,9.0,10.0,10.0,9.0,8.0,3.0,3.0,8.0,3.0,3.0,,10.0,3.0,10.0,10.0,9.0,10.0,7.0,9.0,9.0,5.0,,2.0,1.0,2.0,8.0,1.0,10.0,1.0,5.0,,,4.0,2.0,4,5.0,10,1
10025,20161219,A E P INDUSTRIES INC,AEPI,611378.7,9.0,3.0,9.0,3.0,7.0,10,10.0,1.0,5.0,4.0,6.0,10.0,2.0,,8.0,9.0,5.0,4.0,10.0,10.0,7.0,5.0,8.0,9.0,9.0,9.0,,,10.0,7.0,8.0,10.0,8.0,9.0,1.0,1.0,3.0,5.0,,8.0,5.0,7.0,6.0,10.0,9.0,10.0,6.0,6.0,6.0,9.0,10.0,4,4.0,10,1
10026,20161219,J & J SNACK FOODS CORP,JJSF,2465628.48,6.0,3.0,8.0,3.0,7.0,1,10.0,10.0,6.0,3.0,4.0,8.0,6.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,1.0,9.0,7.0,3.0,6.0,10.0,,9.0,2.0,7.0,9.0,9.0,6.0,1.0,3.0,4.0,6.0,,7.0,4.0,9.0,9.0,9.0,9.0,8.0,5.0,4.0,1.0,5.0,10.0,4,9.0,10,1
10028,20161219,D G S E COMPANIES INC,DGSE,15486.25,10.0,8.0,9.0,9.0,10.0,1,10.0,1.0,4.0,10.0,9.0,10.0,2.0,,1.0,,9.0,10.0,9.0,1.0,9.0,9.0,1.0,1.0,10.0,8.0,,,,4.0,,,9.0,10.0,10.0,,3.0,4.0,,1.0,1.0,1.0,8.0,1.0,10.0,1.0,7.0,,,,1.0,4,10.0,10,1
10032,20161219,PLEXUS CORP,PLXS,1807249.6,7.0,7.0,3.0,7.0,5.0,1,1.0,10.0,6.0,1.0,4.0,9.0,1.0,,9.0,8.0,8.0,5.0,8.0,10.0,2.0,6.0,7.0,7.0,9.0,,,,7.0,9.0,8.0,7.0,9.0,9.0,8.0,7.0,6.0,5.0,2.0,5.0,6.0,6.0,5.0,10.0,4.0,9.0,3.0,2.0,5.0,5.0,7.0,4,9.0,10,1
10044,20161219,ROCKY MOUNTAIN CHOC FAC INC NEW,RMCF,60354.74,10.0,4.0,8.0,4.0,8.0,10,10.0,10.0,8.0,5.0,9.0,8.0,6.0,9.0,8.0,6.0,8.0,9.0,9.0,10.0,4.0,2.0,10.0,9.0,5.0,10.0,2.0,,5.0,2.0,4.0,7.0,10.0,4.0,7.0,7.0,4.0,5.0,,9.0,7.0,10.0,8.0,8.0,10.0,2.0,4.0,3.0,1.0,8.0,2.0,4,10.0,10,1
10051,20161219,HANGER INC,<undefined>,,,3.0,1.0,5.0,1.0,1,1.0,1.0,6.0,10.0,10.0,7.0,1.0,,1.0,,7.0,9.0,3.0,5.0,4.0,6.0,1.0,1.0,8.0,10.0,,,,1.0,,,,3.0,9.0,9.0,,6.0,,,,,8.0,10.0,8.0,10.0,7.0,7.0,2.0,6.0,,4,,10,1
10104,20161219,ORACLE CORP,ORCL,159709590.5,1.0,4.0,6.0,4.0,3.0,1,1.0,10.0,9.0,5.0,2.0,2.0,10.0,4.0,8.0,5.0,9.0,6.0,2.0,1.0,6.0,3.0,9.0,9.0,1.0,9.0,9.0,1.0,4.0,5.0,3.0,2.0,9.0,5.0,7.0,7.0,4.0,9.0,6.0,8.0,5.0,8.0,7.0,10.0,7.0,3.0,4.0,3.0,3.0,4.0,6.0,4,10.0,10,1
10107,20161219,MICROSOFT CORP,MSFT,494667830.62,1.0,2.0,7.0,2.0,3.0,1,1.0,10.0,8.0,5.0,5.0,3.0,10.0,5.0,4.0,2.0,10.0,5.0,2.0,4.0,3.0,1.0,8.0,8.0,1.0,9.0,8.0,2.0,9.0,5.0,6.0,7.0,9.0,7.0,2.0,3.0,2.0,8.0,6.0,10.0,6.0,10.0,8.0,10.0,7.0,4.0,6.0,5.0,4.0,8.0,8.0,4,9.0,10,1
10116,20161219,ACURA PHARMACEUTICALS INC,ACUR,10058.9,10.0,3.0,8.0,2.0,6.0,10,10.0,1.0,1.0,5.0,4.0,3.0,10.0,,1.0,,10.0,8.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,9.0,,,,2.0,,,9.0,1.0,9.0,10.0,2.0,5.0,,,1.0,1.0,10.0,1.0,5.0,4.0,10.0,,,1.0,1.0,4,9.0,10,1
10138,20161219,T ROWE PRICE GROUP INC,TROW,18654270.79,2.0,,,,,10,10.0,10.0,9.0,,,,,7.0,8.0,5.0,,,,,,1.0,10.0,9.0,1.0,3.0,8.0,,2.0,9.0,,,4.0,3.0,6.0,6.0,,9.0,9.0,9.0,8.0,10.0,3.0,9.0,4.0,6.0,6.0,6.0,8.0,7.0,9.0,4,5.0,10,1
10145,20161219,HONEYWELL INTERNATIONAL INC,HON,89389641.25,1.0,2.0,5.0,3.0,2.0,10,1.0,10.0,8.0,6.0,3.0,5.0,6.0,5.0,7.0,4.0,6.0,6.0,5.0,6.0,7.0,2.0,9.0,9.0,3.0,1.0,7.0,5.0,4.0,4.0,2.0,1.0,9.0,6.0,4.0,4.0,3.0,7.0,4.0,9.0,6.0,9.0,7.0,8.0,6.0,7.0,6.0,5.0,4.0,6.0,10.0,1,8.0,10,1
10158,20161219,AMERESCO INC,AMRC,172663.8,10.0,10.0,3.0,10.0,9.0,1,1.0,1.0,3.0,4.0,2.0,6.0,3.0,,3.0,9.0,2.0,2.0,5.0,1.0,3.0,9.0,3.0,3.0,10.0,9.0,,,6.0,6.0,10.0,8.0,8.0,2.0,5.0,10.0,10.0,8.0,,5.0,10.0,5.0,2.0,2.0,3.0,7.0,2.0,,,4.0,1.0,8,10.0,10,1
